ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-DJ-A13O-01A	-413.876462188352	1271.6645096405	857.788047452144	0.744573559606751	THCA
TCGA-EM-A3SU-06A	189.752574064322	2364.99278504221	2554.74535910653	0.557027375708118	THCA
TCGA-EM-A4FH-01A	-850.969143303584	-905.680753402751	-1756.64989670634	0.940352491975828	THCA
TCGA-IM-A3ED-01A	93.7785451390288	981.654381983267	1075.4329271223	0.722870831702822	THCA
TCGA-EM-A3AQ-01A	-455.619577422468	144.341855472972	-311.277721949496	0.847629257744461	THCA
TCGA-DJ-A3UU-01A	146.602852319535	784.485701359928	931.088553679463	0.737348088169861	THCA
TCGA-H2-A3RH-01A	-581.284182082458	-272.894694773724	-854.178876856182	0.887177878748441	THCA
TCGA-DJ-A1QN-01A	-334.159820118037	431.019301189028	96.8594810709911	0.814340093321613	THCA
TCGA-ET-A39K-01A	-467.298349476921	845.427285994295	378.128936517374	0.789690394436485	THCA
TCGA-ET-A3DU-01A	316.574013683143	2289.81221762747	2606.38623131061	0.550716053602349	THCA
TCGA-EM-A1YC-01A	-924.78617893101	-726.730111511772	-1651.51629044278	0.934990599498454	THCA
TCGA-BJ-A45I-01A	291.250089471368	1344.33930937932	1635.58939885069	0.663676863801794	THCA
TCGA-EL-A3TB-01A	-432.168689733098	214.820900679626	-217.347789053472	0.840233254451933	THCA
TCGA-ET-A25P-01A	-330.577720293356	-368.798381231595	-699.376101524951	0.876464610416479	THCA
TCGA-E8-A438-01A	-413.300453707257	227.608524890969	-185.691928816288	0.837704627858004	THCA
TCGA-EL-A4K7-01A	-1054.80037100564	-202.813408083107	-1257.61377908874	0.912932257333616	THCA
TCGA-FY-A4B4-01A	-365.680516435868	694.340083925045	328.659567489176	0.794124524055547	THCA
TCGA-MK-A84Z-01A	-385.836093856672	-214.187458464123	-600.023552320795	0.86935004564427	THCA
TCGA-ET-A39J-01A	-80.681593989959	-163.826372274215	-244.507966264174	0.84238831369556	THCA
TCGA-EM-A22J-01A	-788.933934145629	-82.1825087830083	-871.116442928637	0.888322354462447	THCA
TCGA-ET-A3BU-01A	-307.992467349018	203.458141159948	-104.53432618907	0.831139371969904	THCA
TCGA-EM-A3OA-01A	-1364.55422483444	-569.282309026665	-1933.8365338611	0.948881740907708	THCA
TCGA-EL-A3GR-01A	105.241324318537	443.541038835424	548.782363153961	0.774075969613294	THCA
TCGA-EL-A4JW-01A	-102.744560722137	248.966193594087	146.22163287195	0.810113382980207	THCA
TCGA-EL-A4KH-01A	-185.610220680091	583.926004954923	398.315784274832	0.787868993471043	THCA
TCGA-ET-A3BQ-01B	-75.2509173732014	153.157976252449	77.9070588792472	0.815951576842302	THCA
TCGA-EL-A3CU-01A	419.845663922109	1344.75775535359	1764.6034192757	0.649392890869474	THCA
TCGA-EM-A2CO-01A	-630.343974966346	-513.493041709849	-1143.83701667619	0.905989347988251	THCA
TCGA-J8-A3O2-01A	-35.8505130627909	901.438112986619	865.587599923828	0.74380881556239	THCA
TCGA-EM-A1CV-01A	-672.48926938092	-155.067191676393	-827.556461057312	0.885367913907875	THCA
TCGA-FY-A3NN-01A	-806.52697935777	299.044095173788	-507.482884183982	0.862556927591718	THCA
TCGA-EL-A4KD-01A	-48.7840065224116	437.000793199272	388.216786676861	0.788781062592552	THCA
TCGA-EL-A3GX-01A	-468.62098474408	1191.68430360904	723.063318864961	0.75762840341101	THCA
TCGA-KS-A41F-01A	-782.674213844511	53.4972193411286	-729.176994503382	0.878562356235657	THCA
TCGA-BJ-A0Z5-01A	-987.107696383986	131.561120815148	-855.546575568839	0.887270498133597	THCA
TCGA-ET-A25L-01A	329.776979772841	588.152729845449	917.92970961829	0.738651509550173	THCA
TCGA-EM-A3FQ-06A	-758.981756679508	487.817894215916	-271.163862463592	0.844490341530703	THCA
TCGA-DJ-A1QD-01A	-506.85463447882	99.8642118558065	-406.990422623013	0.854999874684299	THCA
TCGA-EM-A3SZ-01A	-747.338463531666	897.590597626042	150.252134094376	0.809766383901259	THCA
TCGA-EL-A3ZR-01A	-856.702931121891	-692.174964155863	-1548.87789527775	0.929541147332916	THCA
TCGA-EM-A3FM-01A	-183.068136097566	932.867778300289	749.799642202723	0.755061054994032	THCA
TCGA-EL-A3MW-01A	-418.147694780313	470.327139508421	52.1794447281075	0.818129033062932	THCA
TCGA-DJ-A3UZ-01A	-301.638193245245	839.632442617265	537.994249372019	0.775077545237122	THCA
TCGA-BJ-A28S-01A	-704.055683936271	-680.961831892606	-1385.01751582888	0.920404417383464	THCA
TCGA-DJ-A2PO-01A	22.812537077869	1274.28043385807	1297.09297093594	0.700009588396645	THCA
TCGA-EL-A3T0-01A	373.710242308767	544.270299616409	917.980541925176	0.738646479763098	THCA
TCGA-EL-A3GQ-01A	338.836145893852	368.085755670475	706.921901564327	0.759172732138285	THCA
TCGA-DJ-A1QH-01A	-35.748742841571	228.371937403813	192.623194562242	0.806101391587907	THCA
TCGA-ET-A2N5-01A	-832.048194318989	-156.689744603443	-988.737938922432	0.896118217894328	THCA
TCGA-ET-A40Q-01A	101.968250549847	1204.9817703536	1306.95002090344	0.69897557591056	THCA
TCGA-EM-A1CW-01A	-341.54489969577	779.453828839279	437.908929143509	0.784276543166434	THCA
TCGA-FY-A40K-01A	144.787364686771	1069.63627674573	1214.4236414325	0.708623773059757	THCA
TCGA-FY-A3BL-01A	-1226.05008136295	-309.167794946337	-1535.21787630929	0.928799950017489	THCA
TCGA-EM-A2CR-01A	-280.177402803671	311.429468646992	31.2520658433215	0.819891617135791	THCA
TCGA-H2-A26U-01A	726.620331063542	2077.6429411333	2804.26327219684	0.526242638540812	THCA
TCGA-EM-A2P3-01A	332.214804523584	368.382081725684	700.596886249268	0.759776715695744	THCA
TCGA-MK-A4N7-01A	-439.957680007449	-328.899391823903	-768.857071831352	0.881329415823264	THCA
TCGA-EM-A3FO-01A	-1305.64851989844	-114.880055267477	-1420.52857516592	0.922429866416341	THCA
TCGA-DJ-A2PT-01A	432.301921106913	1613.90072140039	2046.2026425073	0.617413429030235	THCA
TCGA-ET-A40P-01A	-121.297970906328	441.259657763751	319.961686857423	0.794899826674136	THCA
TCGA-EL-A3N2-01A	-505.330081488023	384.569163245378	-120.760918242645	0.83246148863298	THCA
TCGA-EM-A3AR-01A	57.3379030824615	-82.2559002754024	-24.9179971929409	0.824584177215505	THCA
TCGA-ET-A3DP-01A	-128.766498538376	695.053544862508	566.287046324133	0.772446694190745	THCA
TCGA-EM-A2P1-06A	323.110024482344	1982.13620708838	2305.24623157072	0.587062718316099	THCA
TCGA-DJ-A1QF-01A	-40.1325838867978	-103.201777869181	-143.334361755979	0.8342928799181	THCA
TCGA-EM-A3FR-01A	-730.958562533218	-510.073075406689	-1241.03163793991	0.91193618449151	THCA
TCGA-EM-A3O6-01A	-344.006831271327	-363.717561178691	-707.724392450019	0.8770539565077	THCA
TCGA-FY-A3YR-01A	92.086345262496	443.084873540746	535.171218803242	0.775339316510567	THCA
TCGA-DJ-A3UQ-01A	568.468705151027	845.569699442151	1414.03840459318	0.687648072577167	THCA
TCGA-DJ-A4V5-01A	-18.8463172821676	1301.25300588664	1282.40668860447	0.701547472261159	THCA
TCGA-EM-A2CU-01A	128.712454071805	1037.34182822172	1166.05428229352	0.713615577149381	THCA
TCGA-DJ-A3VI-01A	-1196.63473928475	-63.8201921618688	-1260.45493144662	0.913102379951171	THCA
TCGA-EL-A3CN-01A	72.3456713950014	1473.24298428471	1545.58865567971	0.673500793643728	THCA
TCGA-DJ-A3V6-01A	-79.5371158664412	695.158658563798	615.621542697357	0.767827403727239	THCA
TCGA-J8-A42S-01A	-168.947055918363	-72.9710248549606	-241.918080773323	0.842183392863109	THCA
TCGA-FE-A3PC-01A	-391.043688681755	605.539413550815	214.49572486906	0.804197259511218	THCA
TCGA-FE-A239-01A	-1144.02668616245	-1088.20303756821	-2232.22972373066	0.961792134023617	THCA
TCGA-MK-A4N9-01A	-676.012462441992	-177.284163429245	-853.296625871237	0.887118114494604	THCA
TCGA-BJ-A45J-01A	-423.983242189324	236.835902588667	-187.147339600658	0.837821281171543	THCA
TCGA-ET-A25N-01A	-454.229141896386	266.192462989652	-188.036678906735	0.837892544202285	THCA
TCGA-ET-A39R-01A	104.686894645959	1882.44350520868	1987.13039985464	0.624211172286089	THCA
TCGA-BJ-A291-01A	-461.950763284909	-357.932490257059	-819.883253541968	0.884843728063772	THCA
TCGA-FE-A238-01A	-579.263782894544	395.874235158042	-183.389547736502	0.837520010549905	THCA
TCGA-CE-A483-01A	-917.747711827965	-194.923469541536	-1112.6711813695	0.904043366288222	THCA
